condition_id,variant_id,reviewer_1_status,reviewer_2_status,equivalent
1,v1,approved,approved,true
1,v2,approved,approved,true
1,v3,approved,approved,true
2,v1,approved,approved,true
2,v2,approved,approved,true
2,v3,approved,approved,true
3,v1,approved,approved,true
3,v2,approved,approved,true
3,v3,approved,approved,true
4,v1,approved,approved,true
4,v2,approved,approved,true
4,v3,approved,approved,true
5,v1,approved,approved,true
5,v2,approved,approved,true
5,v3,approved,approved,true
6a,v1,approved,approved,true
6a,v2,approved,approved,true
6a,v3,approved,approved,true
6b,v1,approved,approved,true
6b,v2,approved,approved,true
6b,v3,approved,approved,true
6c,v1,approved,approved,true
6c,v2,approved,approved,true
6c,v3,approved,approved,true
